City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
709,Svetlyy,RU,54.675,20.1347,42.85,72,100,10.74,overcast clouds,2022-04-18 18:52:48
710,Plouzane,FR,48.3833,-4.6167,51.85,69,40,10.36,scattered clouds,2022-04-18 18:52:49
711,Khorixas,NA,-20.3667,14.9667,83.16,36,93,5.99,overcast clouds,2022-04-18 18:52:49
712,Bailleul,FR,50.7359,2.7359,57.78,75,100,6.89,overcast clouds,2022-04-18 18:52:49
713,Galle,LK,6.0367,80.217,81.19,80,100,8.28,overcast clouds,2022-04-18 18:52:50
714,Forchheim,DE,49.7175,11.0588,57.78,69,74,4.97,broken clouds,2022-04-18 18:52:50
715,Usinsk,RU,65.9939,57.5281,29.48,97,100,6.98,overcast clouds,2022-04-18 18:52:50
716,Solhan,TR,38.9634,41.0293,52.63,63,97,2.93,overcast clouds,2022-04-18 18:52:51
717,Kindu,CD,-2.95,25.95,70.7,98,90,2.68,moderate rain,2022-04-18 18:49:08
718,Pudozh,RU,61.8099,36.5345,33.21,99,100,1.48,overcast clouds,2022-04-18 18:52:51
719,Fort Walton Beach,US,30.4058,-86.6188,79.18,65,40,17.27,scattered clouds,2022-04-18 18:48:06
720,Dzheyrakh,RU,42.8228,44.6756,49.39,59,100,11.9,overcast clouds,2022-04-18 18:52:51
721,Lovozero,RU,68.005,35.0117,37.54,99,100,7.58,overcast clouds,2022-04-18 18:52:52
722,Bonita Springs,US,26.3398,-81.7787,91.42,67,90,1.99,overcast clouds,2022-04-18 18:51:54
723,Kibre Mengist,ET,5.8833,38.9833,59.13,95,17,0.85,few clouds,2022-04-18 18:52:52
724,Arvika,SE,59.6553,12.5852,48.81,61,100,2.75,overcast clouds,2022-04-18 18:52:53
725,Cobija,BO,-11.0267,-68.7692,86.18,62,75,11.5,broken clouds,2022-04-18 18:52:53
726,Ambalavao,MG,-21.8333,46.9333,66.78,94,74,3.8,broken clouds,2022-04-18 18:52:53
727,Nova Olimpia,BR,-14.7972,-57.2881,85.84,42,14,3.89,few clouds,2022-04-18 18:52:53
728,Portsmouth,GB,50.799,-1.0913,55.45,77,100,13.0,overcast clouds,2022-04-18 18:52:54
729,Leshukonskoye,RU,64.8989,45.7622,31.91,98,100,3.13,overcast clouds,2022-04-18 18:52:55
730,Port Shepstone,ZA,-30.7414,30.455,67.05,80,1,7.52,clear sky,2022-04-18 18:52:55
731,Aadorf,CH,47.492,8.901,54.03,81,5,5.01,clear sky,2022-04-18 18:52:56
732,Aksum,ET,14.1245,38.7244,70.83,30,14,13.85,few clouds,2022-04-18 18:52:56
733,Placido De Castro,BR,-10.3353,-67.1856,85.41,51,98,3.53,overcast clouds,2022-04-18 18:52:56
734,Mutata,CO,7.2441,-76.4356,83.41,83,100,2.37,overcast clouds,2022-04-18 18:52:57
735,Varzea Grande,BR,-15.6467,-56.1325,87.67,40,20,6.91,few clouds,2022-04-18 18:52:57
736,Camacari,BR,-12.6975,-38.3242,80.37,91,84,8.52,broken clouds,2022-04-18 18:52:57
737,Paamiut,GL,61.994,-49.6678,27.37,78,100,26.13,overcast clouds,2022-04-18 18:52:58
