City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Saint-Pierre,RE,77.29,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
423,Sapele,NG,77.76,light rain,5.8941,5.6767,Movig Hotel & Suites
425,Berbera,SO,83.7,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
427,Mumford,GH,77.13,overcast clouds,5.2618,-0.759,Spanish Villa
428,Conceicao Do Araguaia,BR,86.16,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
429,Jiwani,PK,80.2,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
435,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
437,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
445,Pala,TD,74.82,heavy intensity rain,9.3642,14.9046,Nectar Hôtel de Pala
446,Rocha,UY,71.8,broken clouds,-34.4833,-54.3333,Hotel Arrarte
450,Sesheke,ZM,74.52,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
451,Julio De Castilhos,BR,70.29,broken clouds,-29.2269,-53.6817,Bladmir Rigol da Costa ME
455,Puerto Baquerizo Moreno,EC,79.79,light intensity drizzle,-0.9,-89.6,Hotel los Algarrobos
457,Angoche,MZ,79.16,clear sky,-16.2325,39.9086,Guest House HESADA
459,Itaqui,BR,74.7,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
460,Manakara,MG,74.3,scattered clouds,-22.1333,48.0167,La Residence Manakara
462,Mabaruma,GY,86.0,broken clouds,8.2,-59.7833,Monty Brooms Guest House
466,Amalapuram,IN,79.0,clear sky,16.5833,82.0167,swayamprabha service apartments
468,Itarema,BR,82.51,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
470,Ferry Pass,US,78.78,broken clouds,30.5102,-87.2125,Hampton Inn Pensacola-Airport (Cordova Mall Area)
473,Eyl,SO,82.45,clear sky,7.9803,49.8164,Amiin Hotel
475,Takoradi,GH,79.34,overcast clouds,4.8845,-1.7554,Raybow International Hotel
476,Black River,JM,82.15,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
477,Umm Lajj,SA,85.28,overcast clouds,25.0213,37.2685,Moon light Furnished Units
479,Peabiru,BR,73.26,clear sky,-23.9128,-52.3431,La visa hotel
483,El Alto,PE,78.46,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
484,Bhera,PK,87.67,overcast clouds,32.4832,72.9097,Shahmeer Tea stall
486,Khem Karan,IN,89.69,few clouds,31.1428,74.5667,Guru Telecom khem karan
487,Sinnamary,GF,80.11,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
488,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
489,Sambava,MG,76.96,broken clouds,-14.2667,50.1667,Melrose
492,Pitimbu,BR,88.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
495,Nakasongola,UG,71.19,few clouds,1.3089,32.4564,Norena Hotel Nakasongola
497,Puerto Narino,CO,78.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
498,Garissa,KE,84.72,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
499,Vihari,PK,86.18,clear sky,30.0333,72.35,Al Shafi
500,Alto Longa,BR,84.43,overcast clouds,-5.2511,-42.2103,pousada E Restaurante Longá
502,Nueva Loja,EC,77.02,light rain,0.0847,-76.8828,Limoncocha Great Hotel
505,Sakakah,SA,81.97,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
506,Terenos,BR,83.91,clear sky,-20.4422,-54.8603,Rancho Pitzer
507,Riberalta,BO,82.6,broken clouds,-10.9833,-66.1,Hotel Colonial
509,Japura,ID,73.56,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
510,Bonthe,SL,80.13,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
511,Bajil,YE,90.0,overcast clouds,15.0584,43.2851,فندق حضرموت
513,Nuqui,CO,81.39,light rain,5.7125,-77.2708,Hotel Nuquimar
514,Rio Verde De Mato Grosso,BR,86.22,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
515,Jawar,IN,87.19,clear sky,23.0,76.5,Sree balaji
516,Akyab,MM,81.5,clear sky,20.15,92.9,Hotel Memory
521,Prestea,GH,75.96,overcast clouds,5.4327,-2.1428,Channel 5
527,Karachi,PK,82.22,smoke,24.9056,67.0822,Sadaat
528,Diamantino,BR,83.53,clear sky,-14.4086,-56.4461,Hotel Delta
531,Wajir,KE,85.96,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
533,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
534,Hualmay,PE,71.22,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
536,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
537,Daud Khel,PK,85.28,overcast clouds,32.875,71.5701,MLCFL CFPP Hostel 6
538,Jardim,BR,85.37,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
539,Lafiagi,NG,87.8,light rain,8.8667,5.4167,Bus group international
540,Rumonge,BI,72.21,light rain,-3.9736,29.4386,Kwetu Guest House
548,Januaria,BR,82.42,overcast clouds,-15.4833,-44.3667,Hotel Paraguassu
553,Tucuman,AR,77.0,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
556,Odweyne,SO,79.61,clear sky,9.4092,45.064,Eng Hiirey House
557,Golakganj,IN,75.02,clear sky,26.1,89.8333,ABHIK SEN
559,Abu Dhabi,AE,80.62,clear sky,24.4667,54.3667,Beach Rotana
560,Hit,IQ,78.21,clear sky,33.6416,42.8251,بيت ابو رباح
561,Mukono,UG,74.95,broken clouds,0.3533,32.7553,Vegas Motel
566,Caetite,BR,71.76,overcast clouds,-14.0694,-42.475,Hotel Porto do Sol
569,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
571,Palm Valley,US,84.13,overcast clouds,30.1775,-81.3876,Sawgrass Marriott Golf Resort & Spa
575,Vila Do Maio,CV,75.99,clear sky,15.1333,-23.2167,Hotel Marilu
576,Presidencia Roque Saenz Pena,AR,77.47,clear sky,-26.7852,-60.4388,Hotel Gualok
577,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
579,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
581,Bubaque,GW,75.72,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
582,Kalmunai,LK,81.81,overcast clouds,7.4167,81.8167,VS Villa
586,Luz,BR,80.47,overcast clouds,-19.8014,-45.6856,Hotel Turista
587,Yenagoa,NG,77.31,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
590,Chirongui,YT,82.33,overcast clouds,-12.9319,45.1483,La Villa Mahatsara
591,Luanda,AO,78.17,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
594,Axim,GH,77.95,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
597,Manono,CD,74.26,clear sky,-7.3,27.4167,Hotel hewa bora
598,Sarankhola,BD,78.89,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
600,Mazamari,PE,84.69,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
601,Salinopolis,BR,82.38,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
602,Illapel,CL,74.07,clear sky,-31.6308,-71.1653,Hotel Londres
604,Anloga,GH,79.12,overcast clouds,5.7947,0.8973,Pin Drop Hotel
609,Hasanpur,IN,87.13,clear sky,28.7167,78.2833,Sarfarj
611,Mangrol,IN,80.78,clear sky,21.1167,70.1167,Hotel The Royal Honours
612,Le Port,RE,78.76,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
613,Leticia,CO,78.85,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
616,Terra Santa,BR,85.53,overcast clouds,-2.1042,-56.4869,Hotel Sarah
617,Dabhoi,IN,83.28,clear sky,22.1833,73.4333,Vivek
628,Soyo,AO,79.32,broken clouds,-6.1349,12.3689,Hotel Mpampa
630,Oussouye,SN,86.18,broken clouds,12.485,-16.5469,Auberge du Routard
631,Villamontes,BO,84.7,clear sky,-21.25,-63.5,Hotel Raldes
636,Gandai,IN,88.2,clear sky,21.6667,81.1,Sri Sai Lodge
638,Cotonou,BJ,80.58,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
